expense_id,date,sub_category,amount,vendor,description,payment_method,receipt,approved_by
1,1/31/2022,building_management,4362.94,Gabcube,aenean sit amet justo morbi ut odio,cash,true,Brigit Castro
2,4/12/2022,building_management,957.78,Fanoodle,duis bibendum felis sed interdum venenatis turpis enim blandit,check,true,Glennis Stenhouse
3,8/28/2022,retreats,3175.62,Dabshots,aliquam lacus morbi quis tortor id nulla ultrices aliquet maecenas leo odio,cash,false,Rosamond Geldert
4,9/29/2022,outreach,2594.51,Photolist,donec quis orci eget orci vehicula condimentum curabitur in libero ut massa volutpat convallis morbi,credit card,true,Dmitri Goard
5,6/23/2022,social_justice,365.34,Thoughtsphere,vulputate justo in blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing,cash,false,Tye Stollenhof
6,8/1/2022,building_management,3171.43,Photobug,ac nibh fusce lacus purus aliquet at feugiat non pretium quis lectus suspendisse potenti,cash,false,Willa Kirwan
7,10/19/2022,retreats,154.61,Avamm,maecenas leo odio condimentum id luctus nec molestie sed justo pellentesque viverra pede,check,true,Zebedee Bartolic
8,1/30/2022,retreats,8476.72,Kwideo,tincidunt nulla mollis molestie lorem,credit card,false,Kylie Jickells
9,2/3/2022,office_administration,2093.17,Avamm,etiam pretium iaculis justo in hac habitasse,credit card,false,Katerine Guido
10,12/6/2022,comm_life,1896.8,Edgetag,tortor sollicitudin mi sit amet lobortis sapien,cash,true,Dulci Gullane
11,9/14/2022,retreats,6564.87,Gabtune,,check,true,Chere Bockin
12,2/20/2022,office_administration,3037.06,Quaxo,in libero ut massa volutpat convallis morbi odio odio elementum eu interdum eu,check,false,Nikolas Gibbieson
13,11/22/2022,crm_expenses,1511.06,Jaxnation,eu orci mauris lacinia sapien quis libero nullam sit,cash,true,Denys Varnes
14,4/29/2022,retreats,7367.21,Skippad,id turpis integer aliquet massa id lobortis convallis tortor risus dapibus augue,check,true,Cleo Godber
15,6/24/2022,liturgy_music,4833.27,Twimbo,quis augue luctus tincidunt nulla mollis,cash,true,Lotti Narramor
16,3/18/2022,outreach,1246.58,Kwimbee,,check,true,Manya Samart
17,11/4/2022,automobiles,6508.36,Fliptune,ut mauris eget massa tempor convallis nulla neque libero convallis eget eleifend,cash,false,Delaney McJury
18,8/11/2022,retreats,9805.12,Rhynoodle,cum sociis natoque penatibus et magnis dis,cash,true,Karim Palk
19,10/19/2022,liturgy_music,4768.33,Divanoodle,aenean auctor gravida sem praesent id massa id,cash,false,Andris Krates
20,12/15/2022,office_administration,681.69,Zoomdog,porttitor pede justo eu massa donec,credit card,true,Bren Bettles
21,4/6/2022,other,6212.12,Jaxworks,id turpis integer aliquet massa id lobortis convallis tortor risus dapibus,check,false,Nickey Peal
22,7/17/2022,social_justice,637.03,Yodel,risus semper porta volutpat quam pede lobortis ligula sit amet eleifend pede libero,check,true,Carena Mears
23,12/23/2022,faith_education,9162.72,Blogspan,,check,false,Keriann Blouet
24,6/6/2022,liturgy_music,4574.59,Feedfish,justo eu massa donec dapibus duis at velit,credit card,false,Sammy Rashleigh
25,12/26/2022,building_management,567.89,Yacero,,check,false,Tobit Hullot
26,7/9/2022,faith_education,2534.55,Quatz,quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit,credit card,true,Hart Iglesias
27,7/22/2022,office_administration,941.53,Yadel,ac nulla sed vel enim sit amet nunc viverra dapibus nulla suscipit,cash,false,Dwight Ellin
28,1/25/2022,retreats,6053.86,Bubblemix,consequat dui nec nisi volutpat eleifend donec ut dolor,cash,false,Leonora Vela
29,5/29/2022,retreats,3963.53,Lazzy,,check,false,Blondie Redmile
30,11/23/2022,building_management,4087.78,Chatterpoint,suspendisse potenti nullam porttitor lacus at turpis donec posuere,credit card,false,Sidonia Allward
31,2/12/2022,comm_life,4238.93,Devpoint,,check,false,Shane Kabos
32,1/1/2022,faith_education,8220.87,Gabcube,est et tempus semper est quam pharetra magna ac consequat metus sapien,credit card,false,Renado Ramel
33,3/23/2022,building_management,4621.02,Fivechat,integer pede justo lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem id,cash,false,Henriette Condell
34,12/6/2022,liturgy_music,5077.55,Trilith,,cash,false,Jeralee Gerhold
35,6/8/2022,utilities,6377.88,Buzzdog,ut nunc vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia,check,true,Andi Cockshoot
36,1/24/2022,comm_life,216.21,Dazzlesphere,convallis morbi odio odio elementum,credit card,false,Louisette Sammut
37,10/10/2022,liturgy_music,9186.79,Kayveo,erat curabitur gravida nisi at nibh in,check,false,Lief Mullender
38,10/21/2022,other,6074.25,Flashset,,check,false,Giffer Baxandall
39,6/23/2022,crm_expenses,2893.13,Brightbean,vulputate nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque,credit card,false,Gerhardt Hempel
40,11/19/2022,office_administration,4696.25,Browsebug,dolor morbi vel lectus in,credit card,false,Wiatt Apfler
41,1/18/2022,utilities,7377.53,Gevee,at lorem integer tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum sed magna,credit card,false,Raina Lints
42,1/22/2022,comm_life,1241.88,Twiyo,diam neque vestibulum eget vulputate ut ultrices,cash,false,Barton Deex
43,5/26/2022,faith_education,4874.0,Fanoodle,,credit card,false,Emmanuel McAdam
44,1/18/2022,faith_education,1548.49,Rhybox,cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus,credit card,true,Roland Schwandt
45,1/19/2022,faith_education,5934.06,Twimbo,neque libero convallis eget eleifend luctus ultricies eu nibh quisque id justo sit amet,credit card,false,Donn Filippov
46,4/26/2022,retreats,5215.14,Ailane,feugiat non pretium quis lectus suspendisse potenti in eleifend quam a odio in,credit card,true,Phedra Gopsall
47,8/2/2022,building_management,8395.03,Skyndu,,check,false,Grannie Ashbridge
48,3/23/2022,building_management,9046.86,Centimia,id lobortis convallis tortor risus,cash,true,Fanchette Sink
49,3/15/2022,utilities,1294.27,Dazzlesphere,nibh fusce lacus purus aliquet at feugiat non pretium quis lectus,credit card,true,Ulrick Adenet
50,3/19/2022,faith_education,3865.01,Edgepulse,est donec odio justo sollicitudin ut suscipit,check,false,Haroun Vankov
51,10/18/2022,building_management,4396.51,Voonix,elementum ligula vehicula consequat morbi a ipsum integer a nibh in quis,credit card,false,Meg McGinnis
52,5/9/2022,utilities,8562.98,Mynte,ut rhoncus aliquet pulvinar sed nisl,check,false,Anderson Dory
53,10/26/2022,other,1180.95,Roombo,leo maecenas pulvinar lobortis est phasellus sit,credit card,true,Gibbie Marciek
54,5/20/2022,other,6772.79,Browsezoom,magna ac consequat metus sapien ut nunc vestibulum,cash,true,Joseito Redmile
55,12/27/2022,utilities,8022.92,Voolith,turpis integer aliquet massa id lobortis convallis tortor risus,check,true,Thornie Ryall
56,10/27/2022,building_management,1679.63,Jaloo,ornare consequat lectus in est risus auctor sed tristique,cash,true,Timi Starkey
57,8/11/2022,comm_life,616.79,Rhycero,vestibulum rutrum rutrum neque aenean auctor gravida sem,cash,false,Gery Dockery
58,10/28/2022,office_administration,227.17,Muxo,arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc donec,cash,false,Marielle Tailby
59,4/21/2022,building_management,6084.01,Bubblemix,,cash,false,Thomasina Dawdry
60,12/15/2022,faith_education,576.3,Youspan,odio elementum eu interdum eu tincidunt,cash,true,Therese Burgin
61,3/8/2022,outreach,1429.69,Cogibox,erat nulla tempus vivamus in felis eu,credit card,true,Katharina Seear
62,5/15/2022,crm_expenses,6118.7,Devpulse,,credit card,false,Jesselyn Scone
63,1/15/2022,faith_education,1031.42,Edgewire,ipsum ac tellus semper interdum mauris ullamcorper purus sit amet nulla quisque arcu libero rutrum,check,true,Sherline Scroggie
64,4/3/2022,liturgy_music,7069.72,Rhycero,,credit card,false,Evangelina Trengove
65,9/9/2022,automobiles,2641.63,Thoughtblab,quis turpis eget elit sodales scelerisque mauris sit amet eros suspendisse accumsan tortor,check,false,Kimmie Cello
66,6/26/2022,social_justice,4587.14,Yambee,ipsum primis in faucibus orci luctus et,credit card,true,Dian Idell
67,9/6/2022,student_leadership,8480.33,Quatz,sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus etiam vel,check,false,Addie Bronot
68,2/24/2022,crm_expenses,7045.56,Quatz,eget eleifend luctus ultricies eu nibh quisque,credit card,true,Ravi Barnaclough
69,8/5/2022,other,8934.98,LiveZ,,cash,true,Marthena Ohms
70,7/22/2022,office_administration,2751.77,Yamia,pellentesque quisque porta volutpat erat quisque erat eros viverra eget congue,credit card,false,Elvira Bartlomieczak
71,8/2/2022,office_administration,548.86,Youtags,sollicitudin mi sit amet lobortis sapien sapien non,credit card,false,Ilka Gannicleff
72,2/6/2022,automobiles,5769.99,Dabjam,diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante ipsum primis in,cash,false,Aura Clue
73,9/5/2022,crm_expenses,4550.62,Youopia,diam cras pellentesque volutpat dui maecenas tristique est et tempus,credit card,false,Wayne Ollerhad
74,10/18/2022,utilities,5129.05,Fiveclub,convallis morbi odio odio elementum,credit card,true,Clay Matyushenko
75,2/19/2022,student_leadership,414.44,Yacero,vestibulum proin eu mi nulla ac enim in tempor turpis nec euismod scelerisque quam,check,true,Willi Mifflin
76,7/21/2022,social_justice,4772.04,Quinu,,check,true,Heath Malimoe
77,8/9/2022,student_leadership,9262.92,Mybuzz,mauris ullamcorper purus sit amet nulla quisque arcu,check,true,Perl Clemmensen
78,10/21/2022,outreach,7949.04,Snaptags,etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent,credit card,true,Gaile Feore
79,7/9/2022,student_leadership,3667.08,Avamba,vulputate ut ultrices vel augue vestibulum ante ipsum,cash,true,Eryn Pigford
80,11/3/2022,automobiles,6376.9,Trudeo,amet eleifend pede libero quis orci nullam molestie,check,true,Estrellita Treace
81,2/17/2022,social_justice,2064.06,Yakitri,tempus vel pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus in est,credit card,false,Victoria Lothean
