donor_id,donor_first_name,donor_last_name,donor_email,donation_amount,donation_date,donation_method,donation_purpose,donation_frequency,donation_notes
1,Nadia,Threlkeld,nthrelkeld0@ifeng.com,4430.98,12/16/2022,online,offering,monthly,"Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.

Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem."
2,Olav,Landon,olandon1@salon.com,6036.83,1/26/2022,check,offering,quarterly,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus. Praesent lectus.

Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.

Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus."
3,Cal,Spradbrow,cspradbrow2@prlog.org,3723.49,5/28/2022,cash,missions,one-time,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis."
4,Bendicty,Fullagar,bfullagar3@unicef.org,8141.1,1/24/2022,check,tithe,one-time,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.

Phasellus in felis. Donec semper sapien a libero. Nam dui."
5,Allina,Charman,acharman4@princeton.edu,6250.85,12/6/2022,online,offering,quarterly,Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.
6,Marc,Madge,mmadge5@businessinsider.com,3056.57,9/29/2022,online,missions,monthly,Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.
7,Keriann,Janko,kjanko6@bloglovin.com,501.22,7/30/2022,cash,offering,quarterly,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.

Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti."
8,Jim,Agge,jagge7@friendfeed.com,1083.64,4/6/2022,cash,offering,quarterly,"Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.

Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.

Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus."
9,Janeta,Lennox,jlennox8@bigcartel.com,1530.85,12/25/2022,cash,missions,quarterly,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti."
10,Trixy,Baldin,tbaldin9@ocn.ne.jp,1621.46,8/24/2022,cash,offering,monthly,"Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.

Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.

Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam."
11,Larina,MacElharge,lmacelhargea@liveinternet.ru,8870.33,4/19/2022,cash,missions,one-time,Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.
12,Hadria,Bergeau,hbergeaub@godaddy.com,3566.54,12/26/2022,check,tithe,one-time,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus."
13,Roxanne,Stilldale,rstilldalec@yelp.com,8440.37,3/31/2022,online,tithe,quarterly,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum."
