expense_id,date,sub_category,amount,vendor,description,payment_method,receipt,approved_by
1,2/18/2020,liturgy_music,1071.33,Topicblab,id nisl venenatis lacinia aenean sit amet,check,true,Parry Bortolutti
2,9/1/2020,retreats,2529.11,Twitterlist,nullam porttitor lacus at turpis donec posuere,cash,false,Carly Jeannel
3,4/28/2020,outreach,8566.32,Demivee,,cash,true,Stefa Bottomer
4,9/10/2020,comm_life,1997.61,Voonte,metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean,cash,true,Jule Steckings
5,1/12/2020,automobiles,9857.01,Skajo,,cash,true,Roz De Bernardis
6,9/16/2020,building_management,8654.49,Eayo,id nulla ultrices aliquet maecenas leo odio condimentum,credit card,false,Chantalle Swaine
7,8/24/2020,building_management,6791.0,Demivee,dui luctus rutrum nulla tellus in sagittis dui vel nisl duis ac nibh fusce lacus,cash,true,Hazel Moyles
8,12/10/2020,utilities,1663.82,Voonte,suspendisse accumsan tortor quis turpis sed,credit card,false,Janina Blunsum
9,1/18/2020,utilities,333.7,Mybuzz,sed ante vivamus tortor duis mattis egestas metus aenean fermentum donec ut mauris eget,cash,true,Everett Mullin
10,9/26/2020,social_justice,4588.33,Photobean,vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget,cash,false,Winslow Colecrough
11,8/7/2020,outreach,415.59,Quatz,nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum ante ipsum primis,cash,true,Rafaellle Markova
12,7/29/2020,liturgy_music,8623.86,Voolith,neque aenean auctor gravida sem praesent id massa id nisl venenatis lacinia,credit card,true,Kenton Readwood
13,2/27/2020,office_administration,2775.57,Flipbug,convallis eget eleifend luctus ultricies eu,cash,true,Thomas Mangon
14,3/25/2020,outreach,7127.31,Thoughtstorm,a suscipit nulla elit ac nulla sed,check,true,Gaelan Brikner
15,8/4/2020,faith_education,1597.05,Trilith,,credit card,true,Tye Eskell
16,4/2/2020,retreats,7939.17,Agivu,metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus,check,false,Evyn Basden
17,8/12/2020,automobiles,3203.03,Dablist,nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque porta,credit card,false,Arlinda Shaudfurth
18,6/9/2020,faith_education,5916.03,Dynabox,donec ut mauris eget massa tempor convallis nulla neque libero convallis eget,check,false,Florella O'Gormley
19,8/2/2020,building_management,871.31,Talane,diam cras pellentesque volutpat dui maecenas tristique est et tempus semper est quam pharetra magna,check,true,Marika Libbe
20,1/4/2020,utilities,4086.96,Jaxspan,primis in faucibus orci luctus et ultrices posuere cubilia curae donec pharetra magna vestibulum,cash,false,Janeczka Staden
21,8/1/2020,automobiles,887.11,Gevee,,credit card,true,Jaclin Cholonin
22,7/28/2020,office_administration,233.17,Yotz,curae mauris viverra diam vitae quam,cash,false,Floris Jackett
